Date,Close/Last,Volume,Open,High,Low
08/29/2017,$15.565,3967846,$15.33,$15.60,$15.165
08/28/2017,$15.435,2180874,$15.515,$15.515,$15.215
08/25/2017,$15.48,2522252,$15.49,$15.605,$15.425
08/24/2017,$15.455,3798134,$15.335,$15.515,$15.315
08/23/2017,$15.435,3875462,$15.115,$15.5125,$15.105
08/22/2017,$15.19,4327864,$15.18,$15.35,$15.135
08/21/2017,$15.11,2963782,$15.31,$15.385,$15.0375
08/18/2017,$15.39,3883898,$15.405,$15.535,$15.225
08/17/2017,$15.375,3723740,$15.345,$15.53,$15.33
08/16/2017,$15.435,3892852,$15.415,$15.70,$15.395
08/15/2017,$15.41,2139328,$15.38,$15.49,$15.315
08/14/2017,$15.43,2707040,$15.55,$15.675,$15.395
08/11/2017,$15.60,3712622,$15.645,$15.785,$15.555
08/10/2017,$15.655,3844152,$16.105,$16.135,$15.65
08/09/2017,$16.04,4464610,$16.045,$16.085,$15.9175
08/08/2017,$16.095,4326976,$16.085,$16.215,$16.03
08/07/2017,$16.28,5182014,$15.98,$16.3498,$15.905
08/04/2017,$16.28,5450966,$15.98,$16.3498,$15.905
08/03/2017,$15.865,10446752,$15.725,$16.0425,$15.685
08/02/2017,$15.35,5345484,$15.08,$15.445,$15.04
08/01/2017,$15.26,5212592,$15.285,$15.395,$14.91
07/31/2017,$15.30,5271228,$15.375,$15.4525,$15.13
07/28/2017,$15.475,3224840,$15.465,$15.625,$15.39
07/27/2017,$15.38,5810068,$15.38,$15.585,$15.155
07/26/2017,$15.395,4650378,$15.27,$15.51,$15.185
07/25/2017,$15.205,4356112,$15.04,$15.275,$14.97
07/24/2017,$14.925,4721106,$14.92,$15.005,$14.7319
07/21/2017,$14.85,10351248,$15.00,$15.07,$14.62
07/20/2017,$15.18,5631238,$15.315,$15.39,$15.1575
07/19/2017,$15.24,5269128,$15.095,$15.27,$15.03
07/18/2017,$14.96,3891754,$14.905,$14.98,$14.80
07/17/2017,$14.72,3145694,$14.60,$14.885,$14.535
07/14/2017,$14.675,3068534,$14.66,$14.77,$14.605
07/13/2017,$14.595,3211828,$14.575,$14.68,$14.485
07/12/2017,$14.655,4964468,$14.705,$14.875,$14.505
07/11/2017,$14.515,3674890,$14.275,$14.5375,$14.135
07/10/2017,$14.34,3827030,$14.07,$14.44,$14.01
07/07/2017,$14.095,5319362,$14.175,$14.22,$13.94
07/06/2017,$14.22,5816828,$14.24,$14.50,$14.16
07/05/2017,$14.20,5472732,$14.445,$14.455,$14.005
07/03/2017,$14.69,2486210,$14.465,$14.7575,$14.4458
06/30/2017,$14.69,5321320,$14.465,$14.7575,$14.4458
06/29/2017,$14.64,4868350,$14.735,$14.835,$14.435
06/28/2017,$14.675,4304210,$14.35,$14.82,$14.25
06/27/2017,$14.27,5511810,$14.285,$14.375,$14.11
06/26/2017,$14.165,3853064,$14.355,$14.39,$14.075
06/23/2017,$14.25,3800564,$14.235,$14.41,$14.11
06/22/2017,$14.23,4130236,$14.185,$14.41,$14.1325
06/21/2017,$14.06,6349328,$13.955,$14.32,$13.825
06/20/2017,$13.96,6477976,$13.995,$14.05,$13.8055
